Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
10/31/2009,82.5064,17.154,21.9541,73.1343,10.8019,12.0074,1.562,2.2832,1.9067,0.6211,8.5957,3.0841,28.1851,71.5781,30.6427,5.2774,25.7667,10.6179,13.544,32.3251,28.5558,18.9678,17.582,33.3681,51.0433,39.1486,49.7153,111.4633,45.1672,72.0459,132.9209,190.7773,157.6854,196.6177,200.6593,955.4922,231.3397,355.2554,310.9793,371.4582,417.2275,392.5002,256.4528,202.3367,155.5757,247.907,313.8874,359.5887,367.9188,560.191,586.8684,704.4347,718.0537,730.6874,743.2859,757.4395,788.8733,861.3962
11/1/2009,4.453133838,339.5347462,13.60400717,64.42884338,165.429362,132.078819,33.89678852,3.919768259,10.2277902,84.3963584,11.06266812,16.93756015,35.48960825,106.1238147,76.68240818,5.925549683,22.88189982,21.74609182,9.371472345,74.99065164,32.31067627,22.19768434,11.14980905,34.33677741,29.67640731,23.27201906,69.78448364,62.33924746,33.38110779,84.18597138,81.9873166,94.56703036,166.7788381,126.7725094,178.0649688,800.0672311,626.8552676,348.2897686,368.8399294,362.5506029,383.0492454,382.739505,365.1813178,347.1218201,259.9786005,203.4234648,100.2553319,265.839124,285.2172627,333.8906359,149.7530804,91.71095575,348.3829463,610.8123629,597.3536932,627.9710317,542.0625102,542.0625102
11/2/2009,55.0744,14.5799,7.4769,57.8138,6.1151,9.578,1.1503,1.8226,1.6565,0.5418,6.3535,2.382,21.0187,1.8332,11.2836,3.5433,20.8669,7.8523,5.5619,16.4605,22.8822,14.3336,8.2943,24.6651,37.7452,13.5018,35.9624,66.4146,17.6621,44.5631,77.6612,103.7737,93.4573,95.1314,99.2052,247.2322,651.7261,371.0245,348.3623,367.5063,362.9225,375.7462,369.6101,360.359,283.3212,256.7889,300.9476,326.7141,327.4198,437.7112,443.3338,492.5318,501.8268,501.0283,505.8582,509.1789,533.8889,547.3828
11/3/2009,52.4486,13.165,8.7723,52.9576,6.0762,8.7523,1.07,1.6652,1.4875,0.4862,5.9053,2.1949,19.5012,5.0863,11.163,3.0959,18.1506,7.1726,4.4924,11.7217,19.9585,12.6096,6.8225,21.3622,33.6226,11.3404,31.3027,61.4152,13.3881,36.8295,67.7907,121.4335,79.0557,103.073,106.4516,249.2505,693.6056,414.6578,348.4949,364.446,365.9563,365.706,377.8611,376.1455,326.2707,320.0342,351.4508,378.9162,379.5324,472.0417,476.3705,530.8703,540.0262,540.8266,543.1504,543.187,558.0303,569.2877
11/4/2009,47.85752243,368.5080467,1.970787562,48.50099044,188.8185404,208.4872933,24.73376647,1.745241636,6.809729976,126.6290311,8.382300575,12.73342974,26.5118515,85.62246775,8.045925684,5.586071905,17.21054756,16.34737542,4.481328341,105.0262233,24.23175514,16.71710529,6.244093837,25.78489734,22.30413202,17.73789291,58.2691143,45.72714399,29.68889279,68.27484472,60.00719363,71.41356912,161.5820183,93.63525889,129.5398255,216.9599592,418.1065387,480.2205235,434.3767404,409.8917825,403.2577454,377.2530273,380.2476004,383.2825083,380.8360684,374.8640703,166.4520596,435.4800854,443.5261571,361.493601,483.2744523,558.6351808,582.3485987,672.7023134,672.9331566,671.6693182,545.8304588,545.8304588
11/5/2009,41.75,11.0527,5.6674,43.8269,4.6354,7.2608,0.872,1.3817,1.2557,0.4108,4.8165,1.8058,15.9337,1.3892,7.5587,2.5681,15.8112,5.9525,4.1381,12.2678,17.3379,10.8607,6.1046,18.6823,28.5982,9.3686,27.2389,50.3106,12.5323,34.1905,58.1736,79.3282,71.6107,71.8888,74.9624,180.4818,217.1138,418.2353,439.2577,422.4223,406.5109,393.2997,378.963,382.2694,383.1319,389.7076,430.1538,447.3961,449.1974,536.2212,538.4586,579.3656,587.0705,588.0738,591.8171,594.8799,618.2304,624.6143
11/6/2009,43.1058,10.8666,7.1022,43.6588,4.9775,7.2169,0.8811,1.3731,1.2284,0.4014,4.8627,1.8087,16.0608,3.9651,9.0033,2.5394,14.957,5.9045,3.6152,9.4395,16.441,10.3746,5.5176,17.5606,27.6605,9.017,25.7186,50.2799,10.6952,30.0883,55.3789,94.521,64.5967,78.7121,81.5004,183.3889,217.0034,418.48,448.6244,441.8052,418.781,409.838,382.2409,384.6533,386.8721,402.1844,428.7474,452.5666,452.6172,529.5352,532.6696,578.9302,586.4631,586.9381,589.0109,588.7482,600.0375,611.7317
11/7/2009,39.1367,9.8229,6.5442,39.5288,4.5327,6.5349,0.7986,1.2432,1.1105,0.3629,4.4076,1.6366,14.5521,5.761,8.3304,2.3118,13.5664,5.3593,3.353,8.6792,14.899,9.4013,5.0936,15.9414,25.1409,8.439,23.3317,45.7288,9.9926,27.4524,50.4716,109.687,58.7538,92.7288,95.2001,171.6588,212.5514,418.7104,457.5323,453.2092,436.7252,425.0316,386.0799,387.4604,389.122,404.835,429.3004,450.327,451.9829,520.9523,524.8193,566.233,572.9219,573.5178,575.7221,577.0923,587.5845,598.5062
11/8/2009,35.9413,9.0334,5.9909,36.3292,4.1599,6.0063,0.7338,1.1427,1.0209,0.3335,4.0498,1.5049,13.3734,6.1706,7.6158,2.122,12.4668,4.9234,3.0674,7.9998,13.689,8.632,4.6564,14.6414,23.0535,7.6955,21.4518,42.0691,9.1032,25.1925,46.3368,122.9492,54.0869,107.8021,110.0662,161.2812,200.9606,418.5664,461.0467,461.695,450.1746,441.4441,392.9019,391.3942,390.9132,405.4348,427.6821,447.0904,448.1022,512.1939,516.0135,553.4833,559.9651,560.2586,562.118,563.6464,573.9372,583.5169
11/9/2009,32.95506292,363.3006552,6.638828123,33.0970669,174.4946869,217.5380686,17.51333904,2.00081707,4.8902148,132.1235071,5.685932578,8.784014724,18.02377977,71.76642757,95.08545904,3.000920494,11.80768986,11.10006244,4.813920543,94.21804717,16.7609475,11.32676119,5.823031517,17.80104091,15.06632174,12.08067788,41.80558356,32.07079542,17.03321892,52.35167387,41.91166096,58.28623644,141.481598,80.82406539,124.9423157,92.09454076,189.3085381,348.7682031,394.4072197,420.8595471,424.2912836,444.4319394,431.1027019,418.0429309,400.402752,402.6883663,173.5047048,451.0385669,453.4120972,341.1142353,456.2637549,537.5304493,552.6158183,616.5374911,616.9583007,622.0022665,510.1998348,510.1998348
